headword,type,cefr,meaning,ipa,example,image_link,topic
general,adjective,B1,affecting or involving most people or things; not specific,/'d?enr?l/,There is a general feeling of happiness.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
general,noun,B1,an officer of very high rank in the army,/'d?enr?l/,The general gave the order to advance.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generalization/generalisation,noun,B2,a statement that is true in most situations or for most people,/?d?enr?la?'ze??n/,It's a generalization to say all cats hate water.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generalize/generalise,verb,B2,to make a general statement based on specific cases,/'d?enr?la?z/,You can't generalize from one example.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generally,adverb,B1,usually; in most cases,/'d?enr?li/,"Generally, I get up at 7 a.m.",https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generate,verb,B1,to produce or create something,/'d?en?re?t/,The engine generates electricity.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generation,noun,A2,all the people born and living at about the same time; the act of producing something,/?d?en?'re??n/,My generation grew up with the internet.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generosity,noun,B2,the quality of being kind and giving,/?d?en?'r?s?ti/,I appreciate your generosity.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generous,adjective,B1,willing to give more than expected; kind,/'d?en?r?s/,She is generous with her time.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
generously,adverb,B2,in a way that shows a willingness to give more than expected,/'d?en?r?sli/,He generously donated to charity.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genetic,adjective,B1,relating to genes or heredity,/d??'net?k/,Genetic diseases can be inherited.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genetically,adverb,B1,in a way that relates to genes or heredity,/d??'net?kli/,The plants are genetically modified.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genetics,noun,B1,the study of genes and heredity,/d??'net?ks/,He is studying genetics at university.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genius,noun,B2,a person with very great intelligence or skill,/'d?i?ni?s/,Einstein was a genius.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genre,noun,B2,"a particular type or style of art, music, or literature",/'??~r?/,My favorite genre is science fiction.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gentle,adjective,A2,kind and careful; not rough or violent,/'d?entl/,He is a gentle person.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gentleman,noun,B1,a polite or honorable man,/'d?entlm?n/,He is a true gentleman.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gently,adverb,B2,in a kind or soft way,/'d?entli/,She closed the door gently.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genuine,adjective,B2,real; not fake or false; sincere,/'d?enju?n/,This is genuine leather.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
genuinely,adverb,B2,truly; really; sincerely,/'d?enju?nli/,She was genuinely surprised.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
geographic,adjective,B2,relating to geography or the features of a place,/?d?i??'gr??k/,The country has many geographic regions.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
geographical,adjective,B1,relating to the geography of an area,/?d?i??'gr??kl/,The geographical features include mountains and rivers.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
geography,noun,B1,"the study of the earth's surface, countries, and features",/d?i'?gr?fi/,We learned about geography in school.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
geology,noun,B1,the study of the earth's structure and history,/d?i'?l?d?i/,He is interested in geology.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
germ,noun,B2,a very small living thing that can cause disease,/d???m/,Wash your hands to kill germs.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gesture,noun,B1,a movement of the hands or body to express an idea or feeling,/'d?est??(r)/,He made a friendly gesture.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
get,verb,A1,"to receive, obtain, or become",/get/,I get up at 7 o'clock.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
getaway,noun,B2,a short holiday; an escape from a place,/'get?we?/,We went on a weekend getaway.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ghetto,noun,B2,"a part of a city where a particular group of people live, often in poor conditions",/'get??/,They grew up in the ghetto.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ghost,noun,A1,"the spirit of a dead person, imagined as a pale, shadowy figure",/g??st/,She believes she saw a ghost.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
giant,adjective,B1,very large; much bigger than usual,/'d?a??nt/,A giant wave hit the shore.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gift,noun,A1,"something you give to someone, usually on a special occasion; a natural ability",/g?ft/,She gave me a birthday gift.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gifted,adjective,B1,having a natural ability or talent,/'g?ft?d/,He is a gifted musician.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
giggle,noun,B1,"a light, silly laugh",/'g?gl/,The children had a giggle.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ginger,noun,B1,"a root with a strong taste, used in cooking; a reddish-brown color",/'d??nd??(r)/,Add some ginger to the tea.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
giraffe,noun,B1,a tall African animal with a very long neck,/d??'r??f/,A giraffe can reach high leaves.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
girl,noun,A1,a female child or young woman,/g??l/,The girl is playing outside.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
girlfriend,noun,A1,a girl or woman that someone is having a romantic relationship with,/'g??lfrend/,He went to the movies with his girlfriend.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
give,verb,A1,to hand something to someone; to provide,/g?v/,Please give me your phone number.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
giveaway,noun,B2,something that is given for free; something that reveals a secret,/'g?v?we?/,The store is having a giveaway.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
given,adjective,A2,already decided or agreed; specified,/'g?vn/,"At a given time, we will start.",https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glacis,noun,B2,"a gentle slope, especially in a fortification",/'gle?s?s/,The castle was protected by a glacis.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glad,adjective,A1,happy; pleased,/gl?/,I'm glad to see you.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glamorous/glamourous,adjective,B2,attractive and exciting in an exciting or charming way,/'gl??r?s/,She wore a glamorous dress.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glance,noun,B1,a quick look,/gl??ns/,She took a glance at her watch.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glance,verb,B1,to look quickly at something or someone,/gl??ns/,He glanced at the clock.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glare,noun,B2,"a strong, bright light; an angry look",/gle?(r)/,The glare of the sun was blinding.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glass,noun,A1,"a hard, clear material; a container for drinking",/gl??s/,She drank a glass of water.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glasses,noun,A1,a pair of lenses in a frame worn to help you see better,/'gl??s?z/,He wears glasses to read.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gleam,noun,B2,"a small, bright light; a brief or faint sign of something",/gli?m/,A gleam of hope appeared.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glee,noun,B2,a feeling of great happiness or delight,/gli?/,She clapped her hands in glee.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glide,noun,B1,"a smooth, continuous movement",/gla?d/,The bird made a graceful glide.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glimpse,noun,B1,a quick look at someone or something,/gl?mps/,I caught a glimpse of the actor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glint,noun,B1,"a quick flash of light; a small, bright shine",/gl?nt/,A glint of sunlight hit the window.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
global,adjective,B1,relating to the whole world,/'gl??bl/,Global warming is a serious issue.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
global warming,noun,B2,the increase in the earth's temperature caused by pollution,/?gl??bl 'w??m??/,Global warming affects the climate.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
globally,adverb,B2,in all parts of the world,/'gl??b?li/,The company operates globally.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
globe,noun,A2,the world; a round model of the earth,/gl??b/,She has a globe on her desk.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glocal,adjective,B2,relating to the connection between global and local issues,/'gl??kl/,The company uses a glocal strategy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gloomy,adjective,B2,dark or poorly lit; sad or without hope,/'glu?mi/,It was a gloomy day.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glorify,verb,B2,to praise or make something seem better than it is,/'gl??r?fa?/,The film glorifies violence.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glorious,adjective,B1,having great beauty or splendor; wonderful,/'gl??ri?s/,It was a glorious morning.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glory,noun,B1,great honor or praise; beauty or splendor,/'gl??ri/,He won glory for his country.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glove,noun,A2,a piece of clothing that covers the hand,/gl?v/,Wear gloves in winter.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
glow,noun,B2,a steady light; a warm or healthy color in the face,/gl??/,The fire gave a warm glow.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
go,noun,B1,an attempt or turn at doing something; energy or enthusiasm,/g??/,Let me have a go at it.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
go,verb,A1,to move or travel from one place to another,/g??/,I go to school by bus.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goal,noun,A1,something you want to achieve; a point scored in a game,/g??l/,My goal is to learn English.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goalkeeper,noun,B1,the player who tries to stop the ball from entering the goal in football,/'g??lki?p?(r)/,The goalkeeper saved the shot.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goat,noun,B2,"an animal with horns and a beard, kept for its milk or meat",/g??t/,The farmer has goats and sheep.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
god,noun,B2,a being believed to have power over nature and human life; a deity,/g?d/,Many people pray to God.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goddess,noun,B1,a female god,/'g?d?s/,Athena is a Greek goddess.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
godly,adjective,B2,relating to or like God; very religious,/'g?dli/,He lived a godly life.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gold,adjective,A1,made of or colored like gold; valuable,/g??ld/,She wore a gold ring.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gold,noun,A2,a yellow precious metal; something valuable,/g??ld/,The medal is made of gold.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
golden,adjective,A2,made of gold; bright yellow; very valuable or special,/'g??ld?n/,They enjoyed a golden sunset.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
golf,noun,A2,a game played on grass where you hit a small ball into holes with a club,/g?lf/,He plays golf every weekend.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
golfer,noun,B1,a person who plays golf,/'g?lf?(r)/,She is a professional golfer.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
good,adjective,A1,of high quality; pleasant or enjoyable,/g?d/,This is a good book.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
good,noun,B2,something that is morally right; benefit or advantage,/g?d/,He works for the common good.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
good afternoon,interjection,A1,used to greet someone in the afternoon,/?g?d ??ft?'nu?n/,"Good afternoon, everyone!",https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
good morning,interjection,A1,used to greet someone in the morning,/?g?d 'm??n??/,"Good morning, teacher!",https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
good night,interjection,A1,used to say goodbye before going to bed,/?g?d 'na?t/,"Good night, see you tomorrow.",https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
good-looking,adjective,A2,physically attractive,/?g?d 'l?k??/,He is a good-looking actor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goodness,interjection,B1,used to express surprise or shock,/'g?dn?s/,Goodness! What happened here?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goods,noun,B1,things that are made to be sold; possessions,/g?dz/,The store sells electronic goods.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
goodwill,noun,B2,friendly or helpful feelings towards others; the value of a business's reputation,/?g?d'w?l/,The company donated money to show goodwill.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gook,noun,B2,an offensive term for a person of East or Southeast Asian descent (offensive),/gu?k/,(offensive term; not used in polite conversation),https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gorge,noun,B2,"a deep, narrow valley with steep sides",/g??d?/,We hiked through the mountain gorge.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gorgeous,adjective,B1,very beautiful or attractive,/'g??d??s/,The sunset was gorgeous.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gorilla,noun,B1,"a large, strong ape that lives in Africa",/g?'r?l?/,We saw a gorilla at the zoo.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gossip,noun,B1,informal talk about other people's private lives,/'g?s?p/,She likes to hear the latest gossip.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gossip,verb,B2,to talk about other people's private lives,/'g?s?p/,They gossiped about their neighbors.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
govern,verb,B1,to control or rule a country or group,/'g?v?n/,The country is governed by a president.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
government,noun,A2,the group of people who control a country or area,/'g?v?nm?nt/,The government passed a new law.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
governmental,adjective,B2,relating to the government,/?g?v?n'mentl/,There are many governmental agencies.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
governor,noun,B1,the person in charge of a state or region,/'g?v?n?(r)/,The governor signed the bill.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gown,noun,B1,a long dress for a special occasion; a long robe worn by judges or students,/ga?n/,She wore a beautiful evening gown.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grab,verb,B1,to take hold of something quickly or suddenly,/gr?/,He grabbed my arm.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grace,noun,A2,elegance or beauty of movement; kindness or goodwill,/gre?s/,She dances with grace.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graceful,adjective,B1,moving in a smooth and attractive way,/'gre?sfl/,The swan is a graceful bird.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gracefulness,noun,B2,the quality of being graceful,/'gre?sfln?s/,Her gracefulness impressed everyone.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grade,noun,A1,a level or mark given to a student's work; a level of quality,/gre?d/,She got a good grade in math.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grade,verb,B2,to give a mark or score to a student's work,/gre?d/,The teacher graded the exams.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gradual,adjective,B2,happening slowly over a period of time,/'gr??u?l/,There was a gradual change in the weather.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gradually,adverb,A2,"slowly, over a period of time",/'gr??u?li/,The pain gradually disappeared.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graduate,noun,B1,"a person who has finished a course of study, especially at a university",/'gr??u?t/,She is a college graduate.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graduate,verb,A2,to complete a course of study and receive a diploma or degree,/'gr??ue?t/,He will graduate next year.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graduation,noun,B1,the act of receiving a diploma or degree after finishing a course of study,/?gr??u'e??n/,Her family attended her graduation.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grain,noun,B2,"the small, hard seeds of food plants such as wheat, rice, or corn",/gre?n/,Bread is made from grain.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gram/gramme,noun,A2,a unit for measuring weight (1/1000 of a kilogram),/gr?/,This apple weighs 150 grams.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grammar,noun,A1,the rules for using words in a language,/'gr??(r)/,We studied English grammar.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grand,adjective,B2,impressive and large; important or ambitious,/gr?d/,They live in a grand house.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandchild,noun,A2,the child of your son or daughter,/'gr?(d)t?a?ld/,She has three grandchildren.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
granddad,noun,A2,grandfather (informal),/'gr?d?/,My granddad tells great stories.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
granddaughter,noun,A2,the daughter of your son or daughter,/'gr?(d)d??t?(r)/,Her granddaughter is five years old.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandfather,noun,A1,the father of your mother or father,/'gr?(f)???(r)/,My grandfather is 80 years old.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandma,noun,A1,grandmother (informal),/'gr?m??/,I visit my grandma every weekend.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandmother,noun,A1,the mother of your mother or father,/'gr?(m)??(r)/,Her grandmother bakes cookies.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandpa,noun,A1,grandfather (informal),/'gr?p??/,Grandpa takes me fishing.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandparent,noun,A1,the parent of your mother or father,/'gr?pe?r?nt/,My grandparents live nearby.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grandson,noun,A2,the son of your son or daughter,/'gr?(s)?n/,Their grandson is a student.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
granny,noun,A2,grandmother (informal),/'gr?i/,Granny makes the best soup.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grant,noun,B1,an amount of money given for a particular purpose,/gr??nt/,She received a grant for her research.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grant,verb,B1,"to give or allow someone something, usually officially",/gr??nt/,The school granted him permission.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grape,noun,A1,"a small, round fruit that grows in bunches and is used to make wine",/gre?p/,Would you like some grapes?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graph,noun,B1,"a drawing that shows information using lines, bars, or curves",/gr??f/,The graph shows our sales growth.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graphic,adjective,B1,"relating to drawing, printing, or images; described in clear detail",/'gr??k/,The book contains graphic images.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graphically,adverb,B2,in a very clear and detailed way,/'gr??kli/,The accident was described graphically.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
graphics,noun,B1,"pictures, drawings, or images, especially on a computer",/'gr??ks/,The game has amazing graphics.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grasp,noun,B2,a firm hold; understanding of something,/gr??sp/,He has a good grasp of the subject.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grass,noun,A1,a common plant with thin green leaves that covers the ground,/gr??s/,The grass is wet with dew.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grateful,adjective,A2,feeling or showing thanks,/'gre?tfl/,I am grateful for your help.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gratitude,noun,B1,the feeling of being thankful,/'gr??tju?d/,She expressed her gratitude.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grave,noun,B1,a place in the ground where a dead person is buried,/gre?v/,They visited his grave.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gravestone,noun,B2,a stone that marks a grave and shows information about the person buried there,/'gre?vst??n/,The gravestone had her name on it.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gravitation,noun,B2,the force that attracts objects towards each other; gravity,/?gr??'te??n/,Gravitation keeps us on the ground.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gravy,noun,B1,"a sauce made from meat juices and flour, served with meat",/'gre?vi/,Pour gravy over the potatoes.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gray/grey,adjective,A1,having a color between black and white,/gre?/,She wore a gray dress.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gray/grey,noun,A1,the color between black and white,/gre?/,The sky was a dull grey.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
great,adjective,A1,very good; large in amount or degree,/gre?t/,We had a great time.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
greatly,adverb,A2,very much; to a large degree,/'gre?tli/,I greatly appreciate your help.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
greatness,noun,B2,"the quality of being great, important, or distinguished",/'gre?tn?s/,He achieved greatness in his field.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
greedy,adjective,A2,wanting more than you need; not willing to share,/'gri?di/,Don't be greedy with the cake.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
green,adjective,A1,having the color of grass; relating to the environment,/gri?n/,The leaves are green.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
green,noun,A2,the color of grass; an area of grass,/gri?n/,The golf ball is on the green.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
greenhouse,noun,B1,a glass building for growing plants,/'gri?nha?s/,Tomatoes grow well in a greenhouse.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
greet,verb,A1,to say hello or welcome someone,/gri?t/,She greeted me with a smile.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
greeting,noun,B1,something you say or do to welcome someone,/'gri?t??/,He waved as a greeting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grief,noun,B2,"great sadness, especially because someone has died",/gri?f/,She was overcome with grief.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grieve,verb,B2,"to feel or show great sadness, especially when someone dies",/gri?v/,He grieved for his lost friend.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grill,noun,B1,a metal frame for cooking food over a fire; a device for cooking food with direct heat,/gr?l/,Cook the meat on the grill.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grill,verb,B1,to cook food over direct heat,/gr?l/,Grill the chicken for 10 minutes.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grilled,adjective,A2,cooked over direct heat,/gr?ld/,I ordered grilled fish.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grim,adjective,B2,unpleasant or worrying; serious or sad,/gr?m/,The news was grim.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grin,noun,B2,a wide smile,/gr?n/,He had a big grin on his face.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grip,noun,B2,a firm hold; control or power over something,/gr?p/,She lost her grip on the rope.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grip,verb,B2,to hold something tightly,/gr?p/,He gripped my hand tightly.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grocery store,noun,A2,a shop that sells food and other things used in the home,/'gr??s?ri st??(r)/,I went to the grocery store for milk.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
groom,noun,B1,a man who is getting married; a person who takes care of horses,/gru?m/,The groom waited for the bride.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
gross,adjective,B2,total before anything is taken away; very unpleasant,/gr??s/,"The gross income is $50,000.",https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ground,noun,A1,the surface of the earth; an area of land,/gra?nd/,The ground is wet after the rain.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ground floor,noun,B1,the floor of a building at street level (UK); first floor (US),/?gra?nd 'fl??(r)/,The shop is on the ground floor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
group,noun,A1,a number of people or things together,/gru?p/,A group of students visited the museum.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
group,verb,B1,to put people or things together in a group,/gru?p/,Group the words by topic.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grouping,noun,B1,a set of people or things that are considered together,/'gru?p??/,The grouping of students was random.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grow,verb,A1,to become bigger or older; to make plants develop,/gr??/,Children grow quickly.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
growing,adjective,B2,"increasing in size, amount, or degree",/'gr????/,There is a growing demand for electric cars.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grown-up,adjective,B2,fully developed; adult,/'gr??n ?p/,He has a grown-up daughter.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
grown-up,noun,B2,an adult,/'gr??n ?p/,Ask a grown-up for help.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
growth,noun,B1,"an increase in size, amount, or degree; the process of growing",/gr???/,The company showed strong growth.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guarantee,noun,B1,a promise that something will happen or be done; a written promise to repair or replace a product,/?g??n'ti?/,The TV comes with a two-year guarantee.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guarantee,verb,B2,to promise that something will happen or be done,/?g??n'ti?/,I guarantee you will like it.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guard,noun,A2,a person who protects a place or people,/g??d/,The guard stood at the gate.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guard,verb,B2,to protect someone or something from danger,/g??d/,Soldiers guard the border.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guerrilla,noun,B2,a member of a small group fighting against a larger official force,/g?'r?l?/,The guerrilla fighters attacked at night.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guess,noun,B1,an attempt to give an answer without knowing all the facts,/ges/,That was just a lucky guess.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guess,verb,A1,to try to give an answer without knowing all the facts,/ges/,Can you guess my age?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guest,noun,A1,a person who is invited to visit or stay in someone's home or at an event,/gest/,We have a guest for dinner.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guidance,noun,B1,help or advice about what you should do,/'ga?d?ns/,She gave me guidance on my project.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guide,noun,B1,a person who shows others the way; a book that gives information,/ga?d/,The guide led us through the museum.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guide,verb,B1,to show someone the way; to give advice,/ga?d/,He guided us to the station.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guidebook,noun,A2,a book with information for visitors about a place,/'ga?db?k/,I bought a guidebook for Paris.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guideline,noun,B2,a rule or instruction that shows how something should be done,/'ga?dla?n/,Follow the safety guidelines.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guilt,noun,B1,the unhappy feeling you have when you have done something wrong,/g?lt/,He felt guilt after lying.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guilty,adjective,B1,having done something wrong; feeling bad about something,/'g?lti/,She felt guilty about missing the meeting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
guitar,noun,A1,a musical instrument with strings that you play with your fingers or a pick,/g?'t??(r)/,He plays the guitar.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
